2020-12-08 13:43:25 INFO  eBanking:24 - Entered Password
2020-12-08 13:43:25 INFO  eBanking:25 - Before Login Screenshot
2020-12-08 13:43:38 INFO  eBanking:28 - After Login Screenshot
2020-12-08 13:43:41 INFO  eBanking:35 - Taking Screenshots
2020-12-08 13:43:42 INFO  eBanking:41 - Taking Screenshots Pass
2020-12-16 12:25:34 INFO  eBanking:17 - Launch Banking App
2020-12-16 12:25:37 INFO  eBanking:22 - Entered Username
2020-12-16 12:25:37 INFO  eBanking:24 - Entered Password
2020-12-16 12:25:37 INFO  eBanking:25 - Before Login Screenshot
2020-12-16 12:25:39 INFO  eBanking:28 - After Login Screenshot
2020-12-16 12:25:43 INFO  eBanking:35 - Taking Screenshots
2020-12-16 12:25:43 INFO  eBanking:41 - Taking Screenshots Pass
